행정구역,2012년_총인구수,2013년_총인구수,2014년_총인구수,2015년_총인구수,2016년_총인구수,2017년_총인구수,2018년_총인구수,2019년_총인구수
광주광역시 북구 (2917000000),"443,677","445,489","447,685","446,316","441,066","438,780","439,773","433,533"
광주광역시 광산구 (2920000000),"385,101","392,875","397,281","400,753","403,049","404,131","404,547","405,315"
대전광역시 동구 (3011000000),"251,945","250,653","245,493","239,579","234,959","230,516","229,071","226,771"
대전광역시 중구 (3014000000),"264,125","264,913","261,165","256,186","252,490","248,933","244,421","240,473"
대전광역시 서구 (3017000000),"496,513","498,917","496,132","490,859","491,011","487,448","484,663","481,222"
대전광역시 유성구 (3020000000),"306,312","313,968","327,461","335,312","343,222","348,428","349,790","349,373"
대전광역시 대덕구 (3023000000),"205,688","204,360","201,558","196,839","192,688","186,902","181,991","177,031"
울산광역시 중구 (3111000000),"233,013","234,607","238,825","244,481","242,536","238,652","231,973","223,581"
울산광역시 남구 (3114000000),"346,836","349,064","347,759","343,598","340,714","335,439","330,732","323,819"
울산광역시 동구 (3117000000),"175,479","178,468","176,668","174,963","174,514","169,605","164,642","159,656"
울산광역시 북구 (3120000000),"184,088","185,695","188,733","191,063","195,285","200,718","206,434","217,796"
울산광역시 울주군 (3171000000),"207,840","208,646","214,392","219,429","219,255","220,718","221,842","223,167"
세종특별자치시  (3600000000),"113,117","122,153","156,125","210,884","243,048","280,100","314,126","340,575"
경기도 수원시 (4111000000),"1,120,258","1,148,157","1,174,228","1,184,624","1,194,041","1,202,628","1,201,166","1,194,465"
경기도 수원시 장안구 (4111100000),"291,757","300,908","301,196","299,016","296,479","293,828","286,433","278,377"
경기도 수원시 권선구 (4111300000),"332,633","331,773","339,835","351,053","358,393","365,653","377,647","371,754"
경기도 수원시 팔달구 (4111500000),"206,794","204,805","203,479","199,180","198,515","193,311","180,974","175,866"
경기도 수원시 영통구 (4111700000),"289,074","310,671","329,718","335,375","340,654","349,836","356,112","368,468"
경기도 성남시 (4113000000),"978,615","979,534","974,608","971,424","974,580","967,510","954,347","942,724"
경기도 성남시 수정구 (4113100000),"233,997","228,167","223,539","219,531","232,841","236,932","234,133","234,678"
경기도 성남시 중원구 (4113300000),"253,883","256,349","251,982","250,004","237,909","230,366","224,885","220,041"
경기도 성남시 분당구 (4113500000),"490,735","495,018","499,087","501,889","503,830","500,212","495,329","488,005"
경기도 의정부시 (4115000000),"429,147","430,976","431,112","433,937","438,457","441,584","447,026","451,868"
경기도 안양시 (4117000000),"611,412","607,877","600,809","597,789","597,414","587,764","576,831","567,044"
경기도 안양시 만안구 (4117100000),"253,492","250,246","247,315","247,270","252,353","254,977","251,512","244,235"
경기도 안양시 동안구 (4117300000),"357,920","357,631","353,494","350,519","345,061","332,787","325,319","322,809"
경기도 부천시 (4119000000),"869,944","863,720","855,586","848,987","851,380","850,329","843,768","829,996"
경기도 광명시 (4121000000),"355,560","353,100","348,560","344,978","339,484","332,790","326,841","316,552"
경기도 평택시 (4122000000),"434,305","442,034","449,555","460,532","470,832","481,530","495,642","513,027"
경기도 동두천시 (4125000000),"97,175","97,557","97,595","97,974","98,277","97,071","96,226","94,768"
경기도 안산시 (4127000000),"715,108","713,666","707,876","697,885","689,859","677,710","660,343","650,918"
